backend,num_rows,cardinality,operation,time_ms,compressed_bytes,compression_ratio,result_cardinality,iteration
DDC (New),2528312,132,load,5.01137,4010490,0.0961353,0,1
DDC (New),2528312,132,OR,0.214373,0,0,324324,1
DDC (New),2528312,132,AND,0.164084,0,0,0,1
DDC (New),2528312,132,XOR,0.159281,0,0,324324,1
DDC (New),2528312,132,multi-OR,3.21354,0,0,2456218,1
DDC (New),2528312,132,OR_op,0.02796,0,0,324324,1
DDC (New),2528312,132,AND_op,0.031478,0,0,0,1
DDC (New),2528312,132,XOR_op,0.029819,0,0,324324,1
DDC (New),2528312,132,NOT_op,0.011795,0,0,2364005,1
DDC (New),2528312,132,COMP_op,0.076042,0,0,2368295,1
